Column,P-Value
Interface_Difference_Molecular_Weight_Scores_Joint,0.00021245657439716346
Domain_Non-Matching-Gap_Count_Pair_1,0.00021945368429603866
Interface_Matching_Count_Pair_2,0.0002196546712613943
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Joint,0.00022288166931357683
Global_Average_Sum_Blosum_Similar_Scores_Joint,0.0002330747197827542
Interface_Residues_Length_Pair_2,0.00024188465384486098
Interface_Average_Sum_Blosum_Similar_Scores_Pair_2,0.0002594847587125397
Interface_Average_Difference_Helix_Percent_Pair_1,0.0002886969494034418
Blast_Start_B_Pair_1,0.0002954808432652481
Domain_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0003454290367527718
Blast_Start_B_Pair_2,0.0003742034003844756
Interface_Sum_Blosum_Non-Similar_Scores_Pair_1,0.00037645010866188647
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.0003821445032930048
Global_Matching_Percent_Pair_1,0.0004053019614830533
Interface_Average_Difference_Turn_Percent_Joint,0.00042914121982632746
Fasta_Length_A_Pair_2,0.000454899993035102
Interface_Average_Difference_Hydrophobicity_Scores_Pair_2,0.0004699177701533867
Global_Sum_Blosum_Non-Similar_Scores_Pair_2,0.0005556438640064566
Interface_Sum_Blosum_Non-Similar_Scores_Joint,0.0005805664742528551
Domain_Non-Matching-Gap_Percent_Pair_1,0.0006217017856468001
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,0.0006834187897011109
Interface_Average_Sum_Blosum_Non-Similar_Scores_Joint,0.0006888663223343629
Interface_Average_Difference_Polarizability_Scores_Joint,0.0008594963354195189
Global_Average_Sum_Blosum_Matching_Scores_Joint,0.0008639768942135364
Blast_Gap_Pair_1,0.0009104170415628733
Blast_Identical_Percent_Pair_2,0.0009151648956016076
Interface_Difference_Polarity_Scores_Pair_2,0.0011343830391572518
Interface_Difference_Volume_Buried_Residue_Scores_Pair_2,0.0013186362551454763
Interface_Difference_Polarizability_Scores_Pair_1,0.0013195084088900289
Interface_Average_Difference_Molecular_Weight_Scores_Joint,0.0017175903971669943
Global_Length_Pair_2,0.002040404713053801
Domain_Average_Sum_Blosum_Similar_Scores_Pair_1,0.0022807113392303733
Blast_Gap_Joint,0.002400098583371891
Interface_Average_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_1,0.0026747140764696673
Interface_Difference_Flexibility_Scores_Pair_1,0.00274667127786289
Interface_Average_Difference_Total_Accessible_Surface_Area_Scores_Pair_1,0.0030063379467773405
Interface_Non-Matching-Gap_Count_Pair_1,0.0031509197424460043
Blast_Positive_Count_Joint,0.003214216610517843
Interface_Difference_Molecular_Weight_Scores_Pair_1,0.003595548248198331
Domain_Sum_Blosum_Non-Similar_Scores_Joint,0.0037466479753489224
Global_Matching_Count_Pair_1,0.005097243083299058
Domain_Matching_Count_Pair_2,0.005439715244589277
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.00599260311800915
Interface_Average_Difference_Polarizability_Scores_Pair_1,0.006465771836722859
Special-Sites_Non-Matching-Gap_Percent_Joint,0.006551053945861736
Interface_Non-Matching-Gap_Count_Joint,0.0066521165131090436
Blast_Gap_Pair_2,0.0072064657856968604
Interface_Difference_Net_Charge_Index_Side_Chains_Scores_Pair_2,0.00723468144269826
Interface_Non-Matching-Gap_Percent_Joint,0.007536708795132077
Special-Sites_Non-Matching-Gap_Count_Joint,0.007566699726593309
Interface_Average_Difference_Turn_Percent_Pair_1,0.008483594858659193
Blast_Alignment_Length_Pair_2,0.008685969152186107
Interface_Difference_Flexibility_Scores_Joint,0.009237531015814544
Interface_Overlapping_Domain_Percent_Joint,0.009276418805425464
Global_Score_Pair_2,0.009477026892220589
Domain_Sum_Blosum_Non-Similar_Scores_Pair_1,0.009860146220127814
Interface_Average_Difference_Flexibility_Scores_Joint,0.010525483108946534
Global_Matching_Count_Pair_2,0.01123182955773998
Interface_Average_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_2,0.011383657788763402
Blast_E-Value_Pair_1,0.012290088157427432
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_2,0.012445198769240539
Fasta_Length_B_Pair_1,0.013495232222784684
Interface_Difference_Helix_Count_Pair_2,0.013844284157028916
Interface_Average_Difference_Volume_Side_Chains_Scores_Pair_2,0.014809245882932072
Blast_Bitscore_Pair_1,0.017127360651127625
Interface_Average_Difference_Molecular_Weight_Scores_Pair_1,0.017616450796645707
Global_Average_Sum_Blosum_Positive_Scores_Joint,0.018875023534533786
Blast_End_A_Pair_1,0.02032233541436204
Blast_Positive_Count_Pair_1,0.021086292688319835
Interface_Average_Difference_Flexibility_Scores_Pair_1,0.021587518045553488
Interface_Non-Matching_Count_Joint,0.02340492266571622
Blast_End_A_Joint,0.024616253602244138
Interface_Average_Sum_Blosum_Positive_Scores_Pair_2,0.02481506423060274
Interface_Non-Matching_Count_Pair_1,0.02514597631069862
Interface_Non-Matching-Gap_Percent_Pair_1,0.025242535937871916
Interface_Average_Difference_Hydrophobicity_Scores_Joint,0.026207659389911063
Interface_Sum_Blosum_Non-Similar_Scores_Pair_2,0.026955281722763638
Global_Average_Sum_Blosum_Matching_Scores_Pair_2,0.027237974673520078
Fasta_Length_A_Joint,0.028316578369176375
Interface_Average_Difference_Hydrophobicity_Scores_Pair_1,0.03079510361034233
Blast_End_A_Pair_2,0.033730022169247934
Fasta_Length_B_Joint,0.03616123268369683
Global_Sum_Blosum_Non-Similar_Scores_Joint,0.03742862217706117
Global_Length_Joint,0.03797081073131921
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Joint,0.039743150883801794
Interface_Difference_Total_Accessible_Surface_Area_Scores_Pair_2,0.041018191438976156
Interface_Difference_Emini_Surface_Fractional_Probability_Scores_Pair_1,0.043463776938858695
Interface_Difference_Volume_Side_Chains_Scores_Pair_1,0.04783837524364649
Domain_Sum_Blosum_Non-Similar_Scores_Pair_2,0.05092283629094512
Interface_Difference_Volume_Side_Chains_Scores_Joint,0.051602720901232815
Blast_End_B_Pair_2,0.05495113209832381
Domain_Sum_Blosum_Similar_Scores_Pair_1,0.05910347176965437
Interface_Overlapping_Domain_Percent_Pair_2,0.05997776202762641
Blast_Identical_Count_Pair_1,0.06190170565562228
Interface_Difference_Polarizability_Scores_Pair_2,0.06280455249596438
Blast_Coverage_B_Pair_1,0.06314111903333046
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Pair_2,0.0659952611999696
Blast_End_B_Joint,0.06861249801845933
Interface_Difference_Molecular_Weight_Scores_Pair_2,0.08142502217807235
Interface_Difference_Turn_Count_Pair_2,0.08836129954299937
Global_Average_Sum_Blosum_Non-Similar_Scores_Pair_1,0.08945613302208094
Global_Average_Sum_Blosum_Positive_Scores_Pair_2,0.09123344035543185
Global_Average_Sum_Blosum_Similar_Scores_Pair_1,0.09169089526905
Interface_Non-Matching-Gap_Count_Pair_2,0.09246352042300288
Interface_Difference_Solvent_Accessible_Surface_Area_Scores_Joint,0.09623898358162014
Interface_Non-Matching_Percent_Pair_2,0.09857909108737722
Interface_Average_Sum_Blosum_Matching_Scores_Pair_2,0.10326699642362003
Blast_Coverage_B_Joint,0.10632831329406961
Fasta_Length_B_Pair_2,0.11218810626421333
Fasta_Length_A_Pair_1,0.12042839017776341
Interface_Average_Sum_Blosum_Non-Similar_Scores_Pair_2,0.15115278402260102
Interface_Matching_Percent_Pair_2,0.15630292738729917
Interface_Difference_Turn_Count_Joint,0.16533689419180803
Global_Sum_Blosum_Similar_Scores_Pair_2,0.17163348242724735
Interface_Difference_Flexibility_Scores_Pair_2,0.1740279507281266
Blast_Alignment_Length_Joint,0.17608064544951763
Interface_Average_Difference_Flexibility_Scores_Pair_2,0.17808073291433146
Interface_Average_Difference_Helix_Percent_Pair_2,0.18593963792372853
Interface_Difference_Janin_Interior_To_Surface_Transfer_Energy_Scores_Joint,0.18759918732712483
Interface_Non-Matching_Count_Pair_2,0.19312350005849876
Interface_Average_Difference_Solvent_Accessible_Surface_Area_Scores_Pair_1,0.20275870797364814
Interface_Average_Difference_Molecular_Weight_Scores_Pair_2,0.20414297845881935
Blast_Bitscore_Joint,0.20497869008164565
Interface_Non-Matching_Percent_Pair_1,0.21141374532423118
Blast_E-Value_Pair_2,0.21181534421733772
Blast_Identical_Count_Pair_2,0.21353958896187653
